alpha,c_l,c_d,c_m,thickness
-180,0.0,0.0,0.0,241
-175,0.1736,0.0114,0.0218,241
-170,0.342,0.0452,0.0434,241
-165,0.5,0.1005,0.0647,241
-160,0.6428,0.1755,0.0855,241
-155,0.766,0.2679,0.1057,241
-150,0.866,0.375,0.125,241
-145,0.9397,0.4935,0.1434,241
-140,0.9848,0.6197,0.1607,241
-135,1.0,0.75,0.1768,241
-130,0.9848,0.8803,0.1915,241
-125,0.9397,1.0065,0.2048,241
-120,0.866,1.125,0.2165,241
-115,0.766,1.2321,0.2266,241
-110,0.6428,1.3245,0.2349,241
-105,0.5,1.3995,0.2415,241
-100,0.342,1.4548,0.2462,241
-95,0.1736,1.4886,0.249,241
-90,0.0,1.5,0.25,241
-85,-0.1736,1.4886,0.249,241
-80,-0.342,1.4548,0.2462,241
-75,-0.5,1.3995,0.2415,241
-70,-0.6428,1.3245,0.2349,241
-65,-0.766,1.2321,0.2266,241
-60,-0.866,1.125,0.2165,241
-55,-0.9397,1.0065,0.2048,241
-50,-0.9848,0.8603,0.1915,241
-45,-1.012,0.712,0.1708,241
-40,-1.0376,0.5475,0.1416,241
-39,-1.0419,0.5165,0.1346,241
-38,-1.0462,0.4816,0.1276,241
-37,-1.0525,0.4487,0.1185,241
-36,-1.0568,0.4177,0.1095,241
-35,-1.0611,0.3848,0.1005,241
-34,-1.0654,0.3558,0.0894,241
-33,-1.0717,0.3289,0.0824,241
-32,-1.0765,0.3031,0.0678,241
-30,-1.0889,0.256,0.0508,241
-28,-1.0993,0.209,0.0337,241
-26,-1.1168,0.1756,0.0206,241
-24,-1.1282,0.1423,0.0075,241
-22,-1.1215,0.1183,-0.0008,241
-20,-1.1148,0.0943,-0.0091,241
-18,-1.0919,0.0765,-0.0123,241
-16,-1.0691,0.0587,-0.0156,241
-14,-1.0379,0.0454,-0.0156,241
-12,-1.0067,0.0321,-0.0155,241
-10,-0.8479,0.023,-0.0318,241
-8,-0.6892,0.0138,-0.048,241
-6,-0.4278,0.0118,-0.0611,241
-4,-0.1665,0.0098,-0.0742,241
-2,0.0863,0.0095,-0.0811,241
0,0.3391,0.0092,-0.088,241
2,0.5867,0.0094,-0.0933,241
4,0.8301,0.0099,-0.0977,241
6,1.0656,0.0109,-0.1008,241
8,1.2914,0.0124,-0.1026,241
10,1.5012,0.0144,-0.1024,241
12,1.6886,0.0173,-0.0998,241
14,1.8103,0.0226,-0.0941,241
16,1.8139,0.0354,-0.0874,241
18,1.7545,0.0647,-0.085,241
20,1.6071,0.1035,-0.0913,241
22,1.5257,0.1437,-0.1026,241
24,1.4428,0.1841,-0.114,241
26,1.3826,0.229,-0.1282,241
28,1.3218,0.2738,-0.1423,241
30,1.2583,0.3278,-0.1582,241
32,1.1944,0.3816,-0.1739,241
33,1.1734,0.4209,-0.179,241
34,1.1568,0.4504,-0.1831,241
35,1.1379,0.4815,-0.1873,241
36,1.1248,0.5105,-0.1914,241
37,1.1177,0.545,-0.1953,241
38,1.1024,0.5737,-0.1993,241
39,1.0891,0.5999,-0.2032,241
40,1.0755,0.628,-0.2071,241
45,1.0175,0.7578,-0.2161,241
50,0.9716,0.882,-0.2184,241
55,0.9268,1.0104,-0.2214,241
60,0.866,1.125,-0.2255,241
65,0.766,1.2321,-0.2306,241
70,0.6428,1.3245,-0.2349,241
75,0.5,1.3995,-0.2415,241
80,0.342,1.4548,-0.2462,241
85,0.1736,1.4886,-0.249,241
90,0.0,1.5,-0.25,241
95,-0.1736,1.4886,-0.249,241
100,-0.342,1.4548,-0.2462,241
105,-0.5,1.3995,-0.2415,241
110,-0.6428,1.3245,-0.2349,241
115,-0.766,1.2321,-0.2266,241
120,-0.866,1.125,-0.2165,241
125,-0.9397,1.0065,-0.2048,241
130,-0.9848,0.8803,-0.1915,241
135,-1.0,0.75,-0.1768,241
140,-0.9848,0.6197,-0.1607,241
145,-0.9397,0.4935,-0.1434,241
150,-0.866,0.375,-0.125,241
155,-0.766,0.2679,-0.1057,241
160,-0.6428,0.1755,-0.0855,241
165,-0.5,0.1005,-0.0647,241
170,-0.342,0.0452,-0.0434,241
175,-0.1736,0.0114,-0.0218,241
180,0.0,0.0,0.0,241
